Formulation,Formulation_ID,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Form_comment
T0063_sela2025_bt_lnp_iv_fig3c_SM_102_Nicotine_LNP,T0063_sela2025_bt_lnp_iv_fig3c_SM_102_Nicotine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0064_sela2025_bt_lnp_iv_fig3c_SM_102_Norepinephrine_LNP,T0064_sela2025_bt_lnp_iv_fig3c_SM_102_Norepinephrine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0065_sela2025_bt_lnp_iv_fig3c_SM_102_Tryptophan_LNP,T0065_sela2025_bt_lnp_iv_fig3c_SM_102_Tryptophan_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0066_sela2025_bt_lnp_iv_fig4b_SM_102,T0066_sela2025_bt_lnp_iv_fig4b_SM_102,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0067_sela2025_bt_lnp_iv_fig4b_SM_102,T0067_sela2025_bt_lnp_iv_fig4b_SM_102,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0068_sela2025_bt_lnp_iv_fig4b_SM_102,T0068_sela2025_bt_lnp_iv_fig4b_SM_102,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0069_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,T0069_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0070_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,T0070_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0071_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,T0071_sela2025_bt_lnp_iv_fig4b_SM_102_Acetylcholine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0072_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,T0072_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0073_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,T0073_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0074_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,T0074_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0075_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,T0075_sela2025_bt_lnp_iv_fig4b_SM_102_Nicotine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0076_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,T0076_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0077_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,T0077_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
